name,April,February,January,June,March,May
Aaron Beasley,2,0,0,1,0,2
Aaron Brewer,2,1,1,2,1,0
Aaron Brown,2,0,0,1,3,1
Aaron Coffey,2,2,1,0,2,2
Aaron Davis,3,1,1,2,0,3
Aaron Escobar,1,3,0,0,0,3
Aaron Flores,2,3,2,1,1,0
Aaron Flowers,2,1,2,2,0,0
Aaron Garrett,0,3,3,1,2,1
Aaron Holder,1,2,0,2,2,2
Aaron Jackson,3,3,3,3,3,1
Aaron Johnson,2,2,3,2,3,3
Aaron Kennedy,0,2,1,2,0,3
Aaron King,2,2,2,0,0,0
Aaron Knight,3,3,0,1,1,0
Aaron Lowe,2,2,2,2,3,0
Aaron Marshall,0,1,0,2,0,3
Aaron Martin,3,2,2,3,0,3
Aaron Miller,0,1,0,3,0,1
Aaron Murphy,1,5,3,4,7,9
Aaron Parsons,3,1,2,2,2,0
Aaron Phillips,3,3,1,1,1,0
Aaron Reed,3,1,2,0,0,3
Aaron Spence,0,3,1,2,3,1
Aaron Travis,0,3,2,1,3,1
Aaron Vang,0,3,2,1,1,2
Aaron Williams,1,3,1,1,2,2
Aaron Yang,3,3,0,2,0,0
Aaron Young,3,3,1,1,2,6
Abigail Gilmore,1,3,2,1,1,0
Abigail Graham,2,2,3,1,3,3
Abigail Jenkins,2,1,2,2,1,3
Abigail Ruiz,2,1,1,1,2,1
Abigail Stanton,1,0,0,2,2,1
Abigail White,0,0,3,2,1,0
Adam Allen,3,1,1,3,1,2
Adam Berger,2,1,3,3,2,1
Adam Bryan,3,2,1,3,1,2
Adam Bullock MD,1,2,1,3,1,1
Adam Clark,5,4,6,5,4,3
Adam Ford,2,1,3,0,0,1
Adam French,0,1,2,0,3,3
Adam Gaines,3,0,1,0,3,1
Adam Golden,0,2,0,0,1,0
Adam Hamilton,2,3,3,2,3,1
Adam Harper,3,1,2,3,1,1
Adam Hernandez,1,3,1,3,0,2
Adam Hickman,0,2,2,0,1,2
Adam Howard,1,2,1,3,1,2
Adam Johnston,1,3,3,1,3,1
Adam Kelly,0,0,2,3,0,3
Adam Lewis,3,2,0,1,2,2
Adam Morris,2,1,1,1,1,0
