,,transaction_value,transaction_value,transaction_value,transaction_value,transaction_value,transaction_value
month,,April,February,January,June,March,May
name,username,,,,,,
Aaron Beasley,hermanjustin,10182,0,0,1500,0,5299
Aaron Brewer,kathryn58,9359,6420,6490,17162,500,0
Aaron Brown,coxjohnathan,10488,0,0,799,17748,10867
Aaron Coffey,monique70,5888,7676,500,0,8882,10327
Aaron Davis,tcox,15089,1990,8260,11508,0,9736
Aaron Escobar,edwardsmichael,1990,11157,0,0,0,2896
Aaron Flores,qlogan,3147,14946,7188,150,5395,0
Aaron Flowers,grosales,5588,4779,8735,19380,0,0
Aaron Garrett,susanhunter,0,21925,6749,7219,9779,9460
Aaron Holder,scraig,6490,11654,0,4795,7728,7070
Aaron Jackson,mallory39,22511,6442,15169,20129,11826,8397
Aaron Johnson,gmcdonald,9289,6691,18966,14476,5098,9243
Aaron Kennedy,derek79,0,10965,5296,1896,0,4188
Aaron King,mary37,5992,15372,9293,0,0,0
Aaron Knight,efranklin,10376,7769,0,898,12460,0
Aaron Lowe,woodstyler,10646,7078,16692,16036,10361,0
Aaron Marshall,antonio81,0,3749,0,5596,0,18270
Aaron Martin,clinejennifer,16351,6687,12018,9386,0,21651
Aaron Miller,andersonmichael,0,2397,0,5492,0,1249
Aaron Murphy,barbara13,0,0,7296,11266,12656,10775
Aaron Murphy,burnettheather,7696,8694,3089,0,14413,19746
Aaron Murphy,timothy59,0,16602,0,8480,8955,11786
Aaron Parsons,toddsalazar,22522,3196,11875,9718,10146,0
Aaron Phillips,peter17,16061,24517,2000,1500,898,0
Aaron Reed,sarahduke,8294,2397,3345,0,0,24440
Aaron Spence,omason,0,8048,1099,16528,17326,7391
Aaron Travis,katelyn07,0,12781,5978,3897,9086,500
Aaron Vang,xthomas,0,6485,19318,796,3000,5846
Aaron Williams,thomasdennis,2296,12244,5786,1600,1800,8447
Aaron Yang,rodneyevans,26243,15249,0,4899,0,0
Aaron Young,jeremy47,0,5997,0,2898,1150,16749
Aaron Young,reedgina,14388,2296,3980,0,1990,17045
Abigail Gilmore,buckleyjoshua,6950,12886,7028,10897,6897,0
Abigail Graham,taustin,7246,1796,7891,150,8950,13541
Abigail Jenkins,susan86,18339,499,10729,14110,500,17136
Abigail Ruiz,amandawalters,8168,2450,9068,7868,7385,6000
Abigail Stanton,dthompson,10580,0,0,3197,5791,6393
Abigail White,gary75,0,0,25148,6395,796,0
Adam Allen,wramirez,22531,597,8587,13914,3980,13450
Adam Berger,russelldavid,3600,2100,12316,19856,14955,6099
Adam Bryan,wademaria,8922,3746,9169,9475,3980,4197
Adam Bullock MD,heather67,4995,7367,6000,7895,4749,5296
Adam Clark,aferrell,5493,19996,8695,8747,15143,1950
Adam Clark,bennettcole,13948,10696,15263,7449,3897,9893
Adam Ford,samanthalee,3790,5000,8394,0,0,5196
Adam French,valerie38,0,12656,18372,0,14995,21490
Adam Gaines,brendamorris,12223,0,15656,0,17005,4580
Adam Golden,jessicasmith,0,14078,0,0,5296,0
Adam Hamilton,erinmiller,17357,6445,11848,8775,12007,5746
Adam Harper,brewerlucas,24437,2597,11897,18338,2598,3196
Adam Hernandez,sarahkennedy,1500,10590,11153,7094,0,7577
Adam Hickman,nancyrowland,0,16434,2992,0,799,2645
Adam Howard,ibass,2299,13196,3096,13646,4980,12897
Adam Johnston,ethan13,5597,21273,3695,3695,9591,8480
Adam Kelly,joshua93,0,0,6493,7534,0,12551
Adam Lewis,susan04,16121,8992,0,2988,20440,7078
Adam Morris,michael97,12000,848,7598,600,300,0
Adam Nguyen,brownrandall,5970,0,19468,6484,0,14193
Adam Pearson,kellerryan,6769,14254,12558,0,13394,0
Adam Phelps Jr.,kristopher95,4237,7488,27002,17710,0,4387
Adam Price,lisarogers,0,6696,0,0,7966,2294
Adam Reynolds,kristina93,3646,0,19957,9858,1598,14093
Adam Rich,matthew89,16886,1446,0,10965,0,0
Adam Rich,williamcallahan,15769,14642,0,16757,9245,3000
Adam Richmond,evan71,10986,0,11100,7146,15675,14141
Adam Savage,wardnicole,0,0,5970,0,5289,20156
Adam Serrano,sylvia76,13882,8381,2699,4480,13723,796
Adam Silva Jr.,robertdaniels,0,0,6394,0,11886,0
Adam Smith,morgantiffany,14874,16547,12530,9097,11056,3940
Adam Tate,timothy64,18128,4895,11166,0,4877,8869
Adam Thompson,hjohnson,5196,13550,16966,4387,13795,6891
Adam Thompson,wilsoncrystal,7446,9098,8970,20915,21065,15262
Adam Walsh,jessewhite,8598,17252,21906,2048,8468,24656
Adam Wilkinson,kevin68,0,14287,26737,0,14058,0
Adam Williams,emendez,0,19355,15865,14816,3897,13563
Adam Young,jamesyoung,2397,1099,8697,18516,3048,4195
Adrian Hall,hubbardkimberly,9416,0,20158,4648,10910,20247
Adrian Jenkins,kramirez,5480,17370,17261,796,9923,14988
Adrian Leonard,bridgeskevin,9894,3000,0,8878,9039,9398
Adrian Mcgrath,aaron35,29524,2048,10483,600,1500,0
Adrian Oneal,amber66,0,0,11877,12968,14353,0
Adrian Perkins,rachel99,11681,6548,0,11456,0,10190
Adrian Singh,proy,0,0,20097,0,18615,4650
Adrian Smith,ycole,0,13087,5578,4193,0,8899
Adrian Snyder,devans,0,12389,7868,0,1990,0
Adriana Jackson,brittanyli,3000,0,11980,10739,6696,16540
Adriana Wright,cgreene,0,6000,10336,1150,3193,0
Aimee Brown,hallangela,5449,3787,8189,11857,11514,5196
Aimee Cervantes,angela40,12671,1000,13094,21364,9485,3594
Aimee Harrison,scott58,0,0,8199,7470,5443,300
Aimee Pierce,wendymcintyre,0,3588,17166,11445,28581,4397
Aimee Porter,manningchristopher,10057,5696,597,0,7482,799
Aimee Smith MD,elliottpatrick,10504,14242,7272,7744,0,8367
Alan Brown,fenglish,5291,2998,0,3796,10975,18026
Alan Cunningham,shelby05,398,15183,4397,12186,10747,11276
Alan Fernandez,kjames,0,0,0,7000,24920,18090
Alan Fisher,bradfordjill,0,26874,2198,0,9093,18825
Alan Lewis,alexander88,0,11070,0,7893,848,0
Alan Mclaughlin,leonard63,15259,0,3886,2898,0,0
Alan Meyer,qkim,13266,8568,0,15978,0,600
Alan Obrien,bauertravis,0,7895,3095,0,4897,0
Alan Reynolds,arellanoevan,7343,4097,0,3598,8196,2897
Alan Sanchez,ecurry,6396,2000,4392,3980,11288,3193
Alan Sanchez,smithrachel,0,0,3500,5241,6395,0
Alan Stevens,fpowell,0,10871,0,8765,199,4286
Alan White Jr.,ucase,2749,5397,5547,10390,6874,3795
Alan Williamson,fhatfield,12356,13866,10857,799,11260,0
Albert Barnett,conradbrandy,150,450,22963,11388,1449,11556
Albert Leonard,oconnorjim,7696,12873,0,6449,4799,16390
Albert Oneal,taylormejia,1300,11980,14887,7797,8970,6578
Albert Sanders,hdavis,13554,9490,11591,8508,13743,16960
Albert Stewart,rebekah60,0,15573,2799,6695,15844,13759
Albert Wong,brettgeorge,0,2596,0,8343,6145,6990
Alec Lynch,smiththomas,6895,3444,4694,6686,6946,14058
Alejandra Peters,staceycarter,3749,19490,0,0,0,8592
Alejandro Davis,gina43,0,0,0,0,6597,8691
Alejandro Garcia,charles52,7249,12742,3897,0,2650,19364
Alejandro Hernandez,erin03,5292,4000,1999,1100,12696,15116
Alejandro Miller,zacharywilkerson,0,13821,9856,2598,12170,500
Alejandro Moreno,tgood,8299,2097,0,0,13910,3439
Alex Barrera,johnnybuckley,4745,0,2990,1598,9897,2388
Alex Delgado,tbrown,7543,1895,10057,1199,9696,14598
Alex Harmon,qdaniel,10823,17018,11508,2000,12659,15085
Alex Harris,idixon,16930,13894,0,27667,0,14055
Alex Jenkins,adam01,16738,13577,19279,11044,15365,0
Alex Kim,qharris,1598,7996,0,300,0,11769
Alex Reese,felicia25,17586,4500,15180,0,12600,12777
Alex Stone,cunninghamgregory,10288,2697,1898,20805,0,24357
Alex Williams,jennifer59,6634,10864,5196,0,4789,2949
Alexa Hebert,whitejames,0,0,4130,0,18563,0
Alexa Hill,angela17,398,15688,7588,25422,9176,8780
Alexander Brown,susan50,13559,2048,0,3346,0,0
Alexander Cannon,ambermullen,11481,24121,0,4696,14161,9082
Alexander Carter,jonathanwilliams,0,1299,15342,1299,0,0
Alexander Cortez,priceshelia,9176,3897,0,0,0,3980
Alexander Davis,esmith,3980,5098,2990,3196,4950,8696
Alexander Fowler,michael63,0,10397,6677,9967,10541,23680
Alexander Garcia,jjimenez,6541,25784,0,6494,5148,0
Alexander Hendricks,vincentmurray,0,9174,0,5686,7393,12083
Alexander Irwin,johnny35,0,7296,9259,10578,18383,11165
Alexander Johns,llopez,19929,0,7279,0,0,398
Alexander Jones,micheal17,0,0,0,398,13725,19726
Alexander Le,dixonandre,5397,10193,0,0,14462,10186
Alexander Malone,kleinjavier,10626,3749,2694,6319,8241,13891
Alexander Nguyen,christine32,14183,450,4899,6697,7481,1990
Alexander Phillips,jbanks,15343,0,3197,799,8177,0
Alexander Rhodes,kenneth38,8970,5187,0,1450,11094,11906
Alexander Richardson,eduardohickman,0,4093,10346,5970,0,2000
Alexander Simon,kristadiaz,10788,10548,13936,16156,12018,5240
Alexander Singleton,mosesgary,15719,0,0,14182,11506,10992
Alexander Smith DDS,colleenmack,11970,0,600,8882,20347,0
Alexander Stevenson,qsolis,13606,11552,15960,0,1950,10110
Alexandra Bass,nolanjoseph,0,4299,12663,0,15687,9794
Alexandra Boyd,halllisa,1796,450,0,12338,25729,11873
Alexandra Cannon,smithlindsay,0,10859,3395,0,3496,13897
Alexandra Crawford,erica41,1299,10066,26922,0,1500,0
Alexandra Dougherty,waltonnicholas,16062,1398,0,4995,6298,5039
Alexandra Fleming,teresadavis,7089,6500,13419,16574,0,11397
Alexandra Hamilton,annabrennan,1748,0,4442,17763,898,0
Alexandra Hammond,ljoseph,0,8294,6848,4996,2398,0
Alexandra Kennedy,mitchell22,0,9109,21347,24346,10158,19387
Alexandra Wang,matthew12,6400,11561,2000,11875,6799,9260
Alexandra Weaver,rhondacain,7697,12980,16388,0,27428,0
Alexandra West,sgordon,0,0,15985,9196,5296,5386
Alexandria Frank,christine20,0,3598,20186,0,6717,0
Alexandria Holden,wblanchard,10693,7642,11384,3797,5584,6093
Alexandria Jones,bakermichael,4887,15960,17289,13585,3996,5795
Alexandria Kim,zpruitt,0,2490,3796,0,1796,0
Alexandria Lyons,jeffreyoconnell,22154,6799,14391,0,1500,18119
Alexandria Mason,cannonjohn,12442,9093,5395,9558,0,0
Alexandria Rivers,steven26,1898,750,2698,11188,0,12559
Alexandria Thomas,epatterson,9596,13446,5196,11970,12389,16441
